Temperature,Humidity,Soil_pH,Rainfall,Plant_Name
27.6,79.9,7.0,170.3,Banana
22.4,68.6,6.3,150.5,Banana
28.3,71.4,6.6,134.9,Banana
25.5,68.0,6.2,123.0,Banana
24.6,80.3,6.2,202.6,Banana
28.2,75.9,6.2,164.0,Banana
25.6,75.6,7.3,148.1,Banana
29.9,71.5,6.5,185.4,Banana
25.4,84.1,6.7,138.8,Banana
28.6,79.9,6.7,118.6,Banana
25.2,73.8,6.5,162.4,Banana
27.4,68.3,6.6,162.2,Banana
28.4,80.4,6.8,159.2,Banana
26.8,66.7,6.6,154.2,Banana
27.7,68.6,6.2,171.1,Banana
26.9,78.4,6.5,150.6,Banana
20.3,52.4,6.5,50.8,Wheat
16.9,53.5,6.6,50.4,Wheat
21.1,50.5,6.4,51.2,Wheat
21.6,56.0,6.8,30.3,Wheat
18.7,59.4,6.5,81.3,Wheat
16.7,62.0,7.2,52.7,Wheat
16.9,62.3,7.0,49.5,Wheat
16.9,53.6,6.1,41.6,Wheat
15.5,51.2,6.5,64.7,Wheat
21.9,50.0,6.8,55.7,Wheat
17.9,58.4,6.2,67.6,Wheat
18.4,57.5,6.6,109.1,Wheat
16.4,52.3,6.3,48.9,Wheat
16.4,60.9,6.9,48.6,Wheat
15.9,57.4,6.3,72.7,Wheat
18.5,47.4,7.0,95.9,Wheat
16.5,53.1,6.6,66.7,Wheat
19.6,65.1,6.4,44.0,Wheat
14.6,51.3,6.5,95.9,Wheat
16.7,56.1,6.5,83.8,Wheat
24.3,52.3,6.4,80.9,Wheat
19.7,64.2,6.7,52.8,Wheat
19.5,60.5,6.7,70.1,Wheat
20.7,60.8,6.9,73.0,Wheat
17.6,55.7,6.9,43.7,Wheat
18.9,53.0,6.5,85.6,Wheat
18.5,55.2,6.1,74.9,Wheat
19.6,65.8,6.4,64.4,Wheat
18.6,62.9,6.5,65.6,Wheat
19.5,55.9,6.4,63.9,Wheat
20.7,49.9,6.5,46.0,Wheat
21.0,47.4,6.3,67.5,Wheat
21.9,54.7,6.3,97.6,Wheat
14.4,44.0,6.6,50.0,Wheat
15.4,58.5,6.6,48.7,Wheat
14.8,59.4,6.7,58.0,Wheat
22.6,49.6,6.0,46.2,Wheat
17.9,56.2,6.4,67.0,Wheat
14.9,62.2,6.5,82.3,Wheat
18.9,57.3,6.7,69.0,Wheat
19.6,61.6,6.6,74.2,Wheat
17.8,62.2,6.3,96.0,Wheat
17.9,47.8,6.5,46.4,Wheat
20.1,51.7,6.4,22.2,Wheat
16.9,42.9,6.0,75.2,Wheat
20.0,57.1,6.2,59.0,Wheat
18.0,49.2,7.0,77.5,Wheat
17.4,55.1,6.6,19.2,Wheat
17.4,51.6,6.2,54.4,Wheat
22.5,58.2,6.3,71.5,Wheat
27.5,64.6,6.2,87.1,Maize
25.7,62.0,6.5,112.7,Maize
26.6,57.3,6.6,104.0,Maize
29.2,56.6,6.7,104.0,Maize
22.4,57.6,6.1,108.5,Maize
25.3,57.1,6.2,142.8,Maize
28.3,62.2,6.2,102.4,Maize
25.5,54.9,6.1,66.6,Maize
25.0,63.2,6.1,131.5,Maize
20.9,52.7,6.3,120.9,Maize
28.2,57.7,6.5,99.2,Maize
23.6,64.4,6.4,68.5,Maize
27.7,66.9,6.0,107.9,Maize
25.2,61.3,6.0,86.6,Maize
23.9,65.9,6.4,92.6,Maize
25.9,45.8,6.5,65.2,Maize
23.1,54.4,5.8,123.2,Maize
22.8,61.7,6.2,109.5,Maize
24.2,53.6,6.5,90.1,Maize
20.1,57.9,6.7,117.0,Maize
23.1,58.3,6.1,141.5,Maize
25.0,62.2,6.5,104.8,Maize
23.4,59.0,6.2,99.3,Maize
25.8,60.3,6.4,98.4,Maize
24.2,50.0,6.5,106.9,Maize
26.5,45.5,6.8,97.2,Maize
26.8,54.8,6.4,78.9,Maize
22.4,69.6,6.1,104.3,Maize
26.2,62.5,6.2,107.3,Maize
30.0,59.7,6.3,121.0,Maize
26.8,65.9,6.4,77.1,Maize
28.1,54.3,6.3,84.9,Maize
23.8,61.6,6.3,108.4,Maize
28.0,62.3,6.1,119.3,Maize
27.0,53.9,6.4,114.0,Maize
23.3,66.9,6.2,102.5,Maize
23.6,60.1,5.9,71.2,Maize
28.0,55.8,5.9,56.9,Maize
22.4,53.4,6.7,120.2,Maize
22.3,71.3,6.5,93.5,Maize
17.8,71.5,5.8,67.1,Maize
26.6,72.2,6.6,111.3,Maize
25.5,64.3,6.4,105.6,Maize
24.3,59.7,6.0,94.4,Maize
19.8,59.5,5.9,77.9,Maize
24.4,67.0,6.5,68.6,Maize
21.5,64.7,5.9,95.5,Maize
25.4,55.2,6.2,73.3,Maize
22.5,61.6,5.7,108.8,Maize
24.0,62.8,6.3,127.3,Maize
30.3,47.9,7.0,90.9,Cotton
30.1,50.2,6.8,66.7,Cotton
26.5,58.7,6.6,66.1,Cotton
28.2,54.5,6.9,105.0,Cotton
28.3,51.4,6.7,122.9,Cotton
27.0,51.5,7.2,88.3,Cotton
29.5,49.4,7.0,77.1,Cotton
32.4,61.1,6.8,52.6,Cotton
29.8,62.9,6.8,112.8,Cotton
34.2,47.2,7.2,112.6,Cotton
29.1,49.0,6.8,59.7,Cotton
28.4,43.9,7.0,64.6,Cotton
30.6,42.2,7.1,96.7,Cotton
25.0,51.9,7.4,55.8,Cotton
34.2,52.1,6.8,78.9,Cotton
31.4,50.4,7.2,61.6,Cotton
30.4,42.9,7.0,61.9,Cotton
28.2,56.2,7.3,92.2,Cotton
27.3,48.4,7.4,82.8,Cotton
35.8,52.0,7.1,73.8,Cotton
30.3,49.2,7.2,99.1,Cotton
28.0,43.3,6.4,90.2,Cotton
27.2,39.2,7.1,129.9,Cotton
30.0,54.2,7.0,78.0,Cotton
32.3,48.5,7.1,86.4,Cotton
28.3,55.0,6.9,64.9,Cotton
31.3,45.5,7.0,79.8,Cotton
32.7,52.4,7.0,96.4,Cotton
33.5,52.8,7.0,53.8,Cotton
27.3,48.5,6.8,76.3,Cotton
30.1,52.6,7.0,89.7,Cotton
30.2,40.1,6.7,77.1,Cotton
27.0,53.0,7.5,104.4,Cotton
29.5,57.5,7.0,73.3,Cotton
28.5,48.5,6.9,83.4,Cotton
30.4,50.0,7.1,103.8,Cotton
32.4,42.6,6.2,98.7,Cotton
26.6,48.9,6.6,44.0,Cotton
31.4,53.8,6.8,28.2,Cotton
28.6,52.0,6.6,83.7,Cotton
30.0,52.9,7.0,60.5,Cotton
33.0,49.2,7.0,61.3,Cotton
28.9,45.6,6.9,114.2,Cotton
26.6,41.9,7.4,75.8,Cotton
28.3,55.2,6.8,116.5,Cotton
31.7,47.6,7.6,67.9,Cotton
31.9,51.5,7.4,111.2,Cotton
30.1,46.2,7.1,66.4,Cotton
35.0,50.7,6.9,83.7,Cotton
26.6,45.1,7.4,66.9,Cotton
29.4,72.7,6.9,194.4,Sugarcane
34.5,66.2,6.1,210.0,Sugarcane
31.2,68.7,6.9,191.1,Sugarcane
33.1,80.8,6.3,198.6,Sugarcane
32.1,71.3,7.0,190.2,Sugarcane
33.3,75.4,6.4,163.2,Sugarcane
29.4,60.2,7.1,157.9,Sugarcane
31.4,68.6,6.6,196.3,Sugarcane
34.2,67.1,6.4,185.7,Sugarcane
31.4,78.0,6.6,194.7,Sugarcane
33.7,75.9,6.6,154.1,Sugarcane
33.0,66.7,6.3,191.7,Sugarcane
35.1,70.1,6.6,214.0,Sugarcane
32.6,83.0,6.7,144.8,Sugarcane
33.9,71.9,6.9,193.5,Sugarcane
31.7,63.9,6.4,163.0,Sugarcane
30.5,72.9,7.0,187.9,Sugarcane
29.0,72.2,6.9,167.8,Sugarcane
31.7,70.1,6.3,193.0,Sugarcane
31.7,72.1,6.2,171.3,Sugarcane
33.8,68.1,7.0,172.0,Sugarcane
32.6,74.7,6.1,144.8,Sugarcane
28.2,76.3,6.3,231.2,Sugarcane
30.6,70.9,7.0,220.1,Sugarcane
37.2,76.0,6.8,191.9,Sugarcane
33.9,67.2,6.3,179.9,Sugarcane
31.6,67.7,6.7,199.1,Sugarcane
32.2,77.4,6.2,176.1,Sugarcane
30.2,60.7,6.5,177.6,Sugarcane
35.8,73.2,6.2,217.1,Sugarcane
35.1,72.9,6.4,160.8,Sugarcane
31.1,75.4,7.1,210.9,Sugarcane
30.8,64.4,6.5,144.6,Sugarcane
32.8,69.3,6.4,148.1,Sugarcane
33.3,67.3,6.1,122.6,Sugarcane
31.9,78.9,7.0,170.9,Sugarcane
30.5,72.3,6.2,186.0,Sugarcane
33.9,76.1,6.5,175.9,Sugarcane
29.8,65.9,6.4,187.3,Sugarcane
34.3,66.0,6.9,174.6,Sugarcane
31.9,66.3,5.8,197.7,Sugarcane
33.8,68.6,6.5,190.3,Sugarcane
28.1,67.4,6.7,154.9,Sugarcane
32.7,63.2,6.6,179.3,Sugarcane
28.0,75.8,6.3,163.8,Sugarcane
32.5,75.7,6.2,181.2,Sugarcane
33.1,73.5,6.6,172.7,Sugarcane
29.9,70.4,6.2,121.6,Sugarcane
33.1,74.5,5.8,159.8,Sugarcane
33.5,80.3,6.5,165.4,Sugarcane
21.5,66.9,6.3,84.0,Rose
20.8,55.2,6.5,132.5,Rose
22.8,58.7,6.4,68.7,Rose
24.2,59.6,6.4,163.9,Rose
22.7,56.2,6.4,123.0,Rose
22.3,52.8,6.8,86.6,Rose
26.7,65.4,6.4,125.6,Rose
22.2,64.3,6.6,83.1,Rose
20.4,65.1,6.4,91.9,Rose
19.6,62.1,7.1,78.6,Rose
22.1,67.1,6.5,109.0,Rose
19.3,62.1,6.4,119.7,Rose
25.0,72.9,6.7,106.5,Rose
22.5,58.2,6.6,94.1,Rose
22.4,66.6,6.2,122.8,Rose
25.3,59.4,5.9,87.8,Rose
25.2,59.9,6.2,89.9,Rose
24.1,62.7,6.4,92.7,Rose
21.0,55.4,7.0,93.6,Rose
25.0,67.6,6.8,91.4,Rose
23.0,59.9,6.2,106.5,Rose
19.1,65.9,6.4,104.0,Rose
22.7,58.7,6.7,90.5,Rose
24.2,53.3,6.5,138.8,Rose
19.5,56.6,6.7,103.6,Rose
22.9,62.4,6.7,122.2,Rose
23.0,58.8,6.7,138.0,Rose
21.7,55.1,6.8,97.6,Rose
16.6,64.2,6.3,98.2,Rose
22.8,61.0,6.7,91.3,Rose
23.3,58.7,6.7,112.3,Rose
19.7,65.4,6.3,116.2,Rose
22.9,69.2,6.4,93.0,Rose
22.0,58.5,6.7,67.7,Rose
19.4,54.7,6.8,134.2,Rose
21.7,59.2,6.5,123.2,Rose
19.7,61.2,6.8,110.0,Rose
22.5,65.0,5.7,113.6,Rose
20.4,50.8,6.7,127.5,Rose
21.7,64.8,7.0,126.3,Rose
26.1,63.7,6.5,68.0,Rose
21.4,55.8,7.2,96.5,Rose
22.3,62.8,6.5,133.9,Rose
20.4,61.0,6.3,73.6,Rose
20.5,59.8,6.4,86.2,Rose
18.5,59.6,6.0,115.2,Rose
22.2,52.7,6.4,85.0,Rose
22.8,66.7,5.9,102.3,Rose
21.6,63.4,6.6,85.0,Rose
21.2,56.0,6.8,100.4,Rose
29.8,54.7,6.8,39.7,Sunflower
20.5,47.1,7.1,80.2,Sunflower
21.0,59.5,6.9,72.9,Sunflower
29.0,59.5,6.9,52.2,Sunflower
19.6,51.4,6.9,50.3,Sunflower
24.7,55.4,6.9,57.0,Sunflower
25.4,57.2,6.7,98.2,Sunflower
24.8,55.1,7.2,74.7,Sunflower
27.4,56.4,6.8,77.2,Sunflower
22.1,55.5,7.0,65.8,Sunflower
24.7,45.6,6.8,71.9,Sunflower
25.4,49.9,7.4,52.7,Sunflower
27.4,57.1,6.8,105.5,Sunflower
22.0,59.6,7.3,56.6,Sunflower
28.5,53.7,7.1,75.2,Sunflower
24.7,59.1,7.2,35.0,Sunflower
28.3,46.7,7.3,92.5,Sunflower
22.3,52.9,6.7,65.7,Sunflower
24.2,58.9,7.4,97.9,Sunflower
23.6,54.0,6.5,53.9,Sunflower
27.4,63.1,6.6,58.2,Sunflower
24.9,56.4,6.8,78.5,Sunflower
23.8,54.9,7.2,70.1,Sunflower
23.9,54.5,7.0,62.6,Sunflower
24.4,63.0,7.2,64.1,Sunflower
26.7,53.3,7.4,77.4,Sunflower
24.7,57.2,6.5,47.5,Sunflower
22.0,55.7,7.5,114.6,Sunflower
26.6,57.5,6.5,59.1,Sunflower
23.0,51.9,6.9,60.6,Sunflower
20.1,58.7,6.7,74.8,Sunflower
30.2,50.4,6.2,64.3,Sunflower
27.8,64.8,6.6,79.9,Sunflower
23.8,54.5,7.8,39.9,Sunflower
25.6,57.3,7.3,72.0,Sunflower
25.8,53.0,7.1,63.1,Sunflower
26.6,53.2,7.1,69.4,Sunflower
27.8,54.7,6.5,95.2,Sunflower
22.7,51.7,6.8,97.5,Sunflower
19.7,70.7,7.3,74.5,Sunflower
24.9,56.4,7.2,82.9,Sunflower
26.4,55.4,6.9,67.0,Sunflower
24.5,60.7,7.2,11.2,Sunflower
26.6,56.0,7.0,62.2,Sunflower
27.8,59.7,6.8,78.1,Sunflower
22.6,48.1,6.8,87.2,Sunflower
27.4,57.6,7.2,80.3,Sunflower
23.4,57.2,7.2,85.1,Sunflower
28.0,58.5,7.1,91.4,Sunflower
24.9,50.6,7.0,55.1,Sunflower
28.3,39.3,7.3,23.8,Aloe Vera
25.3,41.1,7.5,13.7,Aloe Vera
31.6,44.7,7.0,14.7,Aloe Vera
28.1,35.3,7.7,26.1,Aloe Vera
29.3,30.0,7.7,5.2,Aloe Vera
30.1,41.4,7.9,3.8,Aloe Vera
22.5,40.9,8.0,54.8,Aloe Vera
30.5,37.5,7.7,10.5,Aloe Vera
31.2,42.5,7.8,85.2,Aloe Vera
31.0,37.5,7.5,0.0,Aloe Vera
28.3,38.0,7.3,33.0,Aloe Vera
27.9,45.6,7.5,29.8,Aloe Vera
29.2,40.8,7.7,12.7,Aloe Vera
28.4,38.5,7.1,13.6,Aloe Vera
28.8,44.4,7.6,33.9,Aloe Vera
32.1,39.3,7.6,27.9,Aloe Vera
30.7,37.1,6.8,27.3,Aloe Vera
33.6,44.6,7.8,54.7,Aloe Vera
30.2,41.0,7.3,23.7,Aloe Vera
31.5,46.0,7.5,21.0,Aloe Vera
30.0,43.0,7.1,0.0,Aloe Vera
28.6,33.9,7.3,27.0,Aloe Vera
28.9,47.3,7.6,36.0,Aloe Vera
31.6,34.3,7.8,28.5,Aloe Vera
31.7,34.6,7.0,46.4,Aloe Vera
30.9,35.5,7.2,52.5,Aloe Vera
27.0,48.2,7.2,42.8,Aloe Vera
29.2,43.0,7.3,26.7,Aloe Vera
30.1,35.0,7.7,19.7,Aloe Vera
29.4,35.0,6.7,26.2,Aloe Vera
36.0,43.9,7.5,24.7,Aloe Vera
30.1,42.7,7.1,52.3,Aloe Vera
31.8,43.6,7.6,30.4,Aloe Vera
31.7,43.0,7.4,18.5,Aloe Vera
30.3,47.7,7.1,0.6,Aloe Vera
30.4,40.3,7.6,34.9,Aloe Vera
29.4,47.4,7.0,13.4,Aloe Vera
29.7,31.8,7.4,63.2,Aloe Vera
30.1,41.2,7.1,17.7,Aloe Vera
29.1,38.4,7.9,41.2,Aloe Vera
27.2,41.2,7.6,52.8,Aloe Vera
34.0,34.9,7.3,4.8,Aloe Vera
29.4,42.3,7.8,28.5,Aloe Vera
29.2,40.8,7.2,71.8,Aloe Vera
26.0,40.9,8.1,30.1,Aloe Vera
29.5,38.2,7.4,57.5,Aloe Vera
24.5,47.7,7.1,24.7,Aloe Vera
28.9,42.9,7.0,39.2,Aloe Vera
35.1,33.2,7.6,16.8,Aloe Vera
31.1,40.1,7.3,39.8,Aloe Vera
24.5,84.0,5.7,124.1,Fern
17.6,87.4,5.9,157.1,Fern
19.2,85.0,5.1,162.1,Fern
22.2,82.7,5.4,155.3,Fern
18.9,84.7,6.1,145.1,Fern
19.1,81.8,5.7,146.4,Fern
18.4,91.6,5.9,138.0,Fern
15.3,90.0,5.3,165.8,Fern
15.1,89.5,5.1,164.6,Fern
20.0,80.2,5.4,163.7,Fern
20.3,87.9,6.1,118.7,Fern
24.0,85.5,5.2,123.4,Fern
19.5,89.6,5.5,180.2,Fern
16.4,84.9,5.1,157.3,Fern
22.2,82.9,4.7,154.0,Fern
21.1,87.0,5.9,128.6,Fern
21.7,91.0,5.0,156.4,Fern
18.7,84.6,5.6,140.3,Fern
18.3,85.2,5.2,128.3,Fern
21.7,79.3,5.7,159.3,Fern
15.7,81.6,5.9,130.4,Fern
18.8,87.3,5.7,145.0,Fern
18.5,92.1,6.0,169.6,Fern
20.2,81.0,5.3,160.5,Fern
21.0,92.0,5.7,119.9,Fern
22.6,80.0,5.4,155.0,Fern
25.0,100.0,5.7,146.3,Fern
21.3,89.4,5.4,185.9,Fern
20.6,87.5,5.7,158.4,Fern
22.1,81.9,5.3,128.0,Fern
21.1,88.9,5.6,183.5,Fern
20.0,88.3,5.2,142.3,Fern
21.7,89.2,5.4,148.6,Fern
16.2,83.2,5.8,161.5,Fern
21.3,85.2,5.5,136.8,Fern
21.7,87.1,5.6,139.5,Fern
14.6,90.5,5.4,132.7,Fern
21.7,83.0,5.8,162.3,Fern
21.7,78.2,5.9,155.2,Fern
19.1,85.7,5.0,158.2,Fern
17.4,78.2,5.0,172.3,Fern
18.4,92.7,5.3,115.9,Fern
17.2,91.2,5.5,139.0,Fern
20.4,87.5,5.8,179.0,Fern
19.1,78.4,5.4,155.2,Fern
17.6,80.2,5.6,149.0,Fern
20.1,81.2,5.4,131.5,Fern
22.2,90.2,4.9,131.4,Fern
16.3,81.7,5.5,121.0,Fern
17.7,80.0,5.6,151.4,Fern
